"case","cores","status","makespan_cycles","added_copy_bytes","speedup","method","plan_file"
"case_001","1","scored","233110","0","1.0","singlecore",""
"case_001","2","scored","116868","1152","1.9946435294520313","hybrid","plans/case_001_2cores.json"
"case_001","3","scored","78545","2304","2.9678528232223567","hybrid","plans/case_001_3cores.json"
"case_001","4","scored","58984","3456","3.952088702020887","hybrid","plans/case_001_4cores.json"
"case_001","5","scored","47502","4608","4.907372321","generic_multi_candidate_official_score","plans/case_001_5cores.json"
"case_002","1","scored","261945","0","1.0","singlecore",""
"case_002","2","scored","141748","73728","1.847962581482631","hybrid","plans/case_002_2cores.json"
"case_002","3","scored","98801","153600","2.6512383477900023","hybrid","plans/case_002_3cores.json"
"case_002","4","scored","77557","153600","3.377451422824503","hybrid","plans/case_002_4cores.json"
"case_002","5","scored","60477","181248","4.331316038","generic_multi_candidate_official_score","plans/case_002_5cores.json"
"case_003","1","scored","602212","0","1.0","singlecore",""
"case_003","2","scored","539900","1921730","1.1154139655491757","hybrid","plans/case_003_2cores.json"
"case_003","3","scored","555688","2141946","1.0837232403794936","hybrid","plans/case_003_3cores.json"
"case_003","4","scored","562912","2997502","1.0698155306690922","hybrid","plans/case_003_4cores.json"
"case_003","5","scored","153592","6580482","3.920855253","generic_multi_candidate_official_score","plans/case_003_5cores.json"
"case_004","1","scored","392357","0","1.0","singlecore",""
"case_004","2","scored","199074","110592","1.9709103147573264","hybrid","plans/case_004_2cores.json"
"case_004","3","scored","134043","221184","2.927098020784375","hybrid","plans/case_004_3cores.json"
"case_004","4","scored","104188","331776","3.765855952700887","hybrid","plans/case_004_4cores.json"
"case_004","5","scored","88341","442368","4.441391879","generic_multi_candidate_official_score","plans/case_004_5cores.json"
"case_005","1","scored","95618","0","1.0","singlecore",""
"case_005","2","scored","93623","419064","1.0213088664110315","hybrid","plans/case_005_2cores.json"
"case_005","3","scored","93753","588734","1.0198926967670368","hybrid","plans/case_005_3cores.json"
"case_005","4","scored","95618","0","1.0","hybrid","plans/case_005_4cores.json"
"case_005","5","scored","36336","1523442","2.631494936","generic_multi_candidate_official_score","plans/case_005_5cores.json"
"case_006","1","scored","82837","16400","1.0","singlecore",""
"case_006","2","scored","68226","265204","1.2141558936475831","hybrid","plans/case_006_2cores.json"
"case_006","3","scored","82837","16400","1.0","hybrid","plans/case_006_3cores.json"
"case_006","4","scored","30485","765702","2.717303591930458","hybrid","plans/case_006_4cores.json"
"case_006","5","scored","25863","736386","3.202915362","generic_multi_candidate_official_score","plans/case_006_5cores.json"
"case_007","1","scored","1012562","0","1.0","singlecore",""
"case_007","2","scored","507494","27648","1.9952196479170197","hybrid","plans/case_007_2cores.json"
"case_007","3","scored","338094","55296","2.994912657426633","hybrid","plans/case_007_3cores.json"
"case_007","4","scored","254398","82944","3.980227831979811","hybrid","plans/case_007_4cores.json"
"case_007","5","scored","203834","110592","4.967581463","generic_multi_candidate_official_score","plans/case_007_5cores.json"
"case_008","1","scored","487605","0","1.0","singlecore",""
"case_008","2","scored","244266","0","1.9962049568912579","hybrid","plans/case_008_2cores.json"
"case_008","3","scored","163359","0","2.984867684057811","hybrid","plans/case_008_3cores.json"
"case_008","4","scored","123060","0","3.962335446123842","hybrid","plans/case_008_4cores.json"
"case_008","5","scored","100603","0","4.846823653","generic_multi_candidate_official_score","plans/case_008_5cores.json"
"case_009","1","scored","153261","0","1.0","singlecore",""
"case_009","2","scored","129671","229480","1.1819219409120003","hybrid","plans/case_009_2cores.json"
"case_009","3","scored","142073","172888","1.0787482491395268","hybrid","plans/case_009_3cores.json"
"case_009","4","scored","153261","0","1.0","hybrid","plans/case_009_4cores.json"
"case_009","5","scored","44503","744450","3.443835247","generic_multi_candidate_official_score","plans/case_009_5cores.json"
"case_010","1","scored","86969","0","1.0","singlecore",""
"case_010","2","scored","86969","0","1.0","hybrid","plans/case_010_2cores.json"
"case_010","3","scored","34223","320170","2.5412441925021185","hybrid","plans/case_010_3cores.json"
"case_010","4","scored","25881","368554","3.360341563308991","hybrid","plans/case_010_4cores.json"
"case_010","5","scored","21074","406570","4.126838759","generic_multi_candidate_official_score","plans/case_010_5cores.json"
"case_011","1","scored","184697","0","1.0","singlecore",""
"case_011","2","scored","92646","180224","1.9935777043801135","hybrid","plans/case_011_2cores.json"
"case_011","3","scored","70139","1728512","2.6332995908125296","hybrid","plans/case_011_3cores.json"
"case_011","4","scored","54397","1671168","3.3953526848907107","hybrid","plans/case_011_4cores.json"
"case_011","5","scored","47789","1884160","3.864843374","generic_multi_candidate_official_score","plans/case_011_5cores.json"
"case_012","1","scored","59088","0","1.0","singlecore",""
"case_012","2","scored","32250","192858","1.832186046511628","hybrid","plans/case_012_2cores.json"
"case_012","3","scored","27362","108500","2.1594912652583877","hybrid","plans/case_012_3cores.json"
"case_012","4","scored","17224","180614","3.4305620065025546","hybrid","plans/case_012_4cores.json"
"case_012","5","scored","14368","137896","4.112472160","generic_multi_candidate_official_score","plans/case_012_5cores.json"
"case_013","1","scored","263949","0","1.0","singlecore",""
"case_013","2","scored","132198","8192","1.9966187083011846","hybrid","plans/case_013_2cores.json"
"case_013","3","scored","88351","16384","2.98750438591527","hybrid","plans/case_013_3cores.json"
"case_013","4","scored","66982","24576","3.9405959810098237","hybrid","plans/case_013_4cores.json"
"case_013","5","scored","54363","32768","4.855305999","generic_multi_candidate_official_score","plans/case_013_5cores.json"
"case_014","1","scored","17698626","71010720","1.0","singlecore",""
"case_014","2","scored","8897730","71757240","1.989116999504368","hybrid","plans/case_014_2cores.json"
"case_014","3","scored","5985661","77714952","2.9568373484565864","hybrid","plans/case_014_3cores.json"
"case_014","4","scored","4515498","75948060","3.919529141636205","hybrid","plans/case_014_4cores.json"
"case_014","5","scored","3665309","88238376","4.828685931","generic_multi_candidate_official_score","plans/case_014_5cores.json"
"case_015","1","scored","177362","180256","1.0","singlecore",""
"case_015","2","scored","151937","1365358","1.1673390944931124","hybrid","plans/case_015_2cores.json"
"case_015","3","scored","88475","2360872","2.0046566826787227","hybrid","plans/case_015_3cores.json"
"case_015","4","scored","63147","2074400","2.808716170206027","hybrid","plans/case_015_4cores.json"
"case_015","5","scored","43122","901632","4.113028153","generic_multi_candidate_official_score","plans/case_015_5cores.json"
"case_016","1","scored","7715523","0","1.0","singlecore",""
"case_016","2","scored","7715523","0","1.0","hybrid","plans/case_016_2cores.json"
"case_016","3","scored","7715523","0","1.0","hybrid","plans/case_016_3cores.json"
"case_016","4","scored","7715523","0","1.0","hybrid","plans/case_016_4cores.json"
"case_016","5","scored","4059962","119572408","1.900392910","generic_multi_candidate_official_score","plans/case_016_5cores.json"
"case_017","1","scored","162810","22528","1.0","singlecore",""
"case_017","2","scored","79085","161388","2.0586710501359295","hybrid","plans/case_017_2cores.json"
"case_017","3","scored","55134","173952","2.9529872673849167","hybrid","plans/case_017_3cores.json"
"case_017","4","scored","55972","1254024","2.908775816479668","hybrid","plans/case_017_4cores.json"
"case_017","5","scored","41134","588672","3.958039578","generic_multi_candidate_official_score","plans/case_017_5cores.json"
"case_018","1","scored","1004367","1970176","1.0","singlecore",""
"case_018","2","scored","501088","2999356","2.0043724854716136","hybrid","plans/case_018_2cores.json"
"case_018","3","scored","338589","4630544","2.9663308613097294","hybrid","plans/case_018_3cores.json"
"case_018","4","scored","252704","5704744","3.9744800240597695","hybrid","plans/case_018_4cores.json"
"case_018","5","scored","201392","5582884","4.987124613","generic_multi_candidate_official_score","plans/case_018_5cores.json"
"case_019","1","scored","81144","0","1.0","singlecore",""
"case_019","2","scored","49918","105536","1.62554589526824","hybrid","plans/case_019_2cores.json"
"case_019","3","scored","28422","135744","2.8549715009499685","hybrid","plans/case_019_3cores.json"
