case,cores,status,no_l2_makespan,cache_makespan,l2_relative_speedup,no_l2_added_copy_bytes,cache_added_copy_bytes,cache_partition_added_copy_bytes,cache_spill_added_copy_bytes,no_l2_cache_hit_rate,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,cache_hits,cache_misses,official_evals,solver_seconds,plan_file,result_file
case_001,1,scored,233110,233110,1.000000000,0,0,0,0,,0.000000000,0,820352,0,201,1,1.199,results_problem3/case_001_1cores/best_plan.json,results_problem3/case_001_1cores/best_result.json.gz
case_001,2,scored,116868,116868,1.000000000,1152,1152,1152,0,,0.000000000,0,821504,0,202,6,4.228,results_problem3/case_001_2cores/best_plan.json,results_problem3/case_001_2cores/best_result.json.gz
case_001,3,scored,78545,78545,1.000000000,2304,2304,2304,0,,0.000000000,0,822656,0,203,8,5.806,results_problem3/case_001_3cores/best_plan.json,results_problem3/case_001_3cores/best_result.json.gz
case_001,4,scored,58984,58984,1.000000000,3456,3456,3456,0,,0.000000000,0,823808,0,204,8,5.692,results_problem3/case_001_4cores/best_plan.json,results_problem3/case_001_4cores/best_result.json.gz
case_001,5,scored,47502,47502,1.000000000,4608,4608,4608,0,,0.000000000,0,824960,0,205,8,5.893,results_problem3/case_001_5cores/best_plan.json,results_problem3/case_001_5cores/best_result.json.gz
case_002,1,scored,261945,261945,1.000000000,0,0,0,0,,0.000000000,0,1222656,0,398,1,2.383,results_problem3/case_002_1cores/best_plan.json,results_problem3/case_002_1cores/best_result.json.gz
case_002,2,scored,132664,132664,1.000000000,273408,273408,273408,0,,0.000000000,0,1359360,0,487,8,14.411,results_problem3/case_002_2cores/best_plan.json,results_problem3/case_002_2cores/best_result.json.gz
case_002,3,scored,89603,89603,1.000000000,331776,331776,331776,0,,0.000000000,0,1388544,0,506,8,21.668,results_problem3/case_002_3cores/best_plan.json,results_problem3/case_002_3cores/best_result.json.gz
case_002,4,scored,68778,68778,1.000000000,384000,384000,384000,0,,0.000000000,0,1414656,0,523,8,22.362,results_problem3/case_002_4cores/best_plan.json,results_problem3/case_002_4cores/best_result.json.gz
case_002,5,scored,54733,54733,1.000000000,150528,122880,122880,0,,0.000000000,0,1284096,0,438,8,14.891,results_problem3/case_002_5cores/best_plan.json,results_problem3/case_002_5cores/best_result.json.gz
case_003,1,scored,602212,602212,1.000000000,0,0,0,0,,0.000000000,0,1284230,0,198,1,31.081,results_problem3/case_003_1cores/best_plan.json,results_problem3/case_003_1cores/best_result.json.gz
case_003,2,scored,314359,312938,1.004540836,1432334,1340362,1340362,0,,0.211832690,466950,1737384,68,667,8,111.680,results_problem3/case_003_2cores/best_plan.json,results_problem3/case_003_2cores/best_result.json.gz
case_003,3,scored,213477,212524,1.004484199,2286872,2286872,2286872,0,,0.311427748,916492,2026380,278,761,8,108.762,results_problem3/case_003_3cores/best_plan.json,results_problem3/case_003_3cores/best_result.json.gz
case_003,4,scored,178372,170789,1.044399815,3378264,3378264,3378264,0,,0.424392547,1576592,2138346,598,794,8,109.503,results_problem3/case_003_4cores/best_plan.json,results_problem3/case_003_4cores/best_result.json.gz
case_003,5,scored,142562,135891,1.049090815,4613028,4514724,4514724,0,,0.513441359,2311704,2190668,808,967,8,110.513,results_problem3/case_003_5cores/best_plan.json,results_problem3/case_003_5cores/best_result.json.gz
case_004,1,scored,392357,392357,1.000000000,0,0,0,0,,0.000000000,0,451584,0,114,1,1.635,results_problem3/case_004_1cores/best_plan.json,results_problem3/case_004_1cores/best_result.json.gz
case_004,2,scored,199074,199074,1.000000000,110592,110592,110592,0,,0.000000000,0,562176,0,117,6,4.740,results_problem3/case_004_2cores/best_plan.json,results_problem3/case_004_2cores/best_result.json.gz
case_004,3,scored,134043,134043,1.000000000,221184,221184,221184,0,,0.000000000,0,672768,0,120,8,6.145,results_problem3/case_004_3cores/best_plan.json,results_problem3/case_004_3cores/best_result.json.gz
case_004,4,scored,104188,104188,1.000000000,331776,331776,331776,0,,0.000000000,0,783360,0,123,8,6.007,results_problem3/case_004_4cores/best_plan.json,results_problem3/case_004_4cores/best_result.json.gz
case_004,5,scored,88341,88341,1.000000000,442368,442368,442368,0,,0.000000000,0,893952,0,126,8,6.195,results_problem3/case_004_5cores/best_plan.json,results_problem3/case_004_5cores/best_result.json.gz
case_005,1,scored,95618,95618,1.000000000,0,0,0,0,,0.000000000,0,318822,0,89,1,5.200,results_problem3/case_005_1cores/best_plan.json,results_problem3/case_005_1cores/best_result.json.gz
case_005,2,scored,50595,50595,1.000000000,490118,490118,490118,0,,0.118913242,74502,552022,30,309,8,26.076,results_problem3/case_005_2cores/best_plan.json,results_problem3/case_005_2cores/best_result.json.gz
case_005,3,scored,37033,36413,1.017026886,813578,813578,813578,0,,0.388904700,344358,541098,148,314,8,27.263,results_problem3/case_005_3cores/best_plan.json,results_problem3/case_005_3cores/best_result.json.gz
