case,cores,status,selected_source,v1_makespan,v2_final_makespan,reduction_cycles,reduction_pct,v1_added_copy_bytes,v2_final_added_copy_bytes,v1_cache_hit_rate,v2_final_cache_hit_rate,additional_official_evaluations
case_001,1,scored,V1_ORIGINAL_UNCHANGED,233110,233110,0,0.000000,0,0,0.000000000,0.000000000,0
case_001,2,scored,V1_ORIGINAL_UNCHANGED,116868,116868,0,0.000000,1152,1152,0.000000000,0.000000000,0
case_001,3,scored,V1_ORIGINAL_UNCHANGED,78545,78545,0,0.000000,2304,2304,0.000000000,0.000000000,0
case_001,4,scored,V1_ORIGINAL_UNCHANGED,58984,58984,0,0.000000,3456,3456,0.000000000,0.000000000,0
case_001,5,scored,V1_ORIGINAL_UNCHANGED,47502,47502,0,0.000000,4608,4608,0.000000000,0.000000000,0
case_002,1,scored,V1_ORIGINAL_UNCHANGED,261945,261945,0,0.000000,0,0,0.000000000,0.000000000,0
case_002,2,scored,V1_ORIGINAL_UNCHANGED,132664,132664,0,0.000000,273408,273408,0.000000000,0.000000000,4
case_002,3,scored,V2_FEEDBACK_SEARCH,89603,88871,732,0.816937,331776,334848,0.000000000,0.000000000,4
case_002,4,scored,V2_FEEDBACK_SEARCH,68778,67470,1308,1.901771,384000,384000,0.000000000,0.000000000,4
case_002,5,scored,V1_ORIGINAL_UNCHANGED,54733,54733,0,0.000000,122880,122880,0.000000000,0.000000000,4
case_003,1,scored,V1_ORIGINAL_UNCHANGED,602212,602212,0,0.000000,0,0,0.000000000,0.000000000,0
case_003,2,scored,V2_FEEDBACK_SEARCH,312938,312318,620,0.198122,1340362,1340362,0.211832690,0.211832690,4
case_003,3,scored,V1_ORIGINAL_UNCHANGED,212524,212524,0,0.000000,2286872,2286872,0.311427748,0.311427748,4
case_003,4,scored,V1_ORIGINAL_UNCHANGED,170789,170789,0,0.000000,3378264,3378264,0.424392547,0.424392547,4
case_003,5,scored,V1_ORIGINAL_UNCHANGED,135891,135891,0,0.000000,4514724,4514724,0.513441359,0.513441359,4
case_004,1,scored,V1_ORIGINAL_UNCHANGED,392357,392357,0,0.000000,0,0,0.000000000,0.000000000,0
case_004,2,scored,V1_ORIGINAL_UNCHANGED,199074,199074,0,0.000000,110592,110592,0.000000000,0.000000000,0
case_004,3,scored,V1_ORIGINAL_UNCHANGED,134043,134043,0,0.000000,221184,221184,0.000000000,0.000000000,0
case_004,4,scored,V1_ORIGINAL_UNCHANGED,104188,104188,0,0.000000,331776,331776,0.000000000,0.000000000,2
case_004,5,scored,V1_ORIGINAL_UNCHANGED,88341,88341,0,0.000000,442368,442368,0.000000000,0.000000000,2
case_005,1,scored,V1_ORIGINAL_UNCHANGED,95618,95618,0,0.000000,0,0,0.000000000,0.000000000,0
case_005,2,scored,V1_ORIGINAL_UNCHANGED,50595,50595,0,0.000000,490118,490118,0.118913242,0.118913242,4
case_005,3,scored,V2_FEEDBACK_SEARCH,36413,36409,4,0.010985,813578,813578,0.388904700,0.409721093,4
case_005,4,scored,V1_ORIGINAL_UNCHANGED,30360,30360,0,0.000000,1211728,1211728,0.331656571,0.331656571,4
